id,collect_time,date_created,sensor_id,uom,value,seconds
213657,2024-07-02 05:48:00,2024-07-02 05:55:46.436,1836026194,ft,1.49,1719899280
213786,2024-07-02 05:54:00,2024-07-02 06:00:46.730,1836026194,ft,1.51,1719899640
213915,2024-07-02 06:00:00,2024-07-02 06:05:46.558,1836026194,ft,1.54,1719900000
214044,2024-07-02 06:06:00,2024-07-02 06:10:46.990,1836026194,ft,1.55,1719900360
214173,2024-07-02 06:12:00,2024-07-02 06:15:46.476,1836026194,ft,1.56,1719900720
214431,2024-07-02 06:18:00,2024-07-02 06:25:46.562,1836026194,ft,1.58,1719901080
214560,2024-07-02 06:24:00,2024-07-02 06:30:46.583,1836026194,ft,1.6,1719901440
214689,2024-07-02 06:30:00,2024-07-02 06:35:46.461,1836026194,ft,1.61,1719901800
214818,2024-07-02 06:36:00,2024-07-02 06:40:46.442,1836026194,ft,1.62,1719902160
214947,2024-07-02 06:42:00,2024-07-02 06:45:46.501,1836026194,ft,1.63,1719902520
215205,2024-07-02 06:48:00,2024-07-02 06:55:46.699,1836026194,ft,1.63,1719902880
215334,2024-07-02 06:54:00,2024-07-02 07:00:46.924,1836026194,ft,1.61,1719903240
215463,2024-07-02 07:00:00,2024-07-02 07:05:46.696,1836026194,ft,1.62,1719903600
215592,2024-07-02 07:06:00,2024-07-02 07:10:46.693,1836026194,ft,1.61,1719903960
215721,2024-07-02 07:12:00,2024-07-02 07:15:46.417,1836026194,ft,1.62,1719904320
215979,2024-07-02 07:18:00,2024-07-02 07:25:46.472,1836026194,ft,1.6,1719904680
216108,2024-07-02 07:24:00,2024-07-02 07:30:46.769,1836026194,ft,1.58,1719905040
216237,2024-07-02 07:30:00,2024-07-02 07:35:46.535,1836026194,ft,1.57,1719905400
216366,2024-07-02 07:36:00,2024-07-02 07:40:47.177,1836026194,ft,1.54,1719905760
216495,2024-07-02 07:42:00,2024-07-02 07:45:46.473,1836026194,ft,1.51,1719906120
216753,2024-07-02 07:48:00,2024-07-02 07:55:46.473,1836026194,ft,1.48,1719906480
216882,2024-07-02 07:54:00,2024-07-02 08:00:46.561,1836026194,ft,1.45,1719906840
